Sample,Depth below surface (m).x,Water (%)#,Environmental dose rate (Gy/kyr),...5,...6,...7,De value (Gy)$,Number of grains*,OD (%)&,osl_age.x,other1,osl_error.x,other2,Depth below surface (m).y,Water (%),EDR_Beta,EDR_Gamma,EDR_Cosmic,EDR_total,De value (Gy),Number of grains,OD (%),Age (ka),Sample.y,upper,lower,Elevation,Easting,Northing,year,X,Y,Xnew,Ynew,Xnew_flipped,Description,type,square,spit,cnr,find,findn,depth_below_ground_surface,total_station_depth_below_surf,osl_age.y,osl_error.y,osl_age,osl_error
NA,NA,NA,Beta,Gamma,Cosmic,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW13A,2.45,<1,0.25 ± 0.02,0.31 ± 0.01,6.3E-2,0.64 ± 0.03,39.8 ± 0.9,133/500 (114),21 ± 2,62.6,±,3.3,(2.6),-2.45,<1,0.25 ± 0.02,0.28 ± 0.01,0.063,0.62 ± 0.03,39.8 ± 0.9,136/500 (114),21 ± 2,64.5 ± 3.5,NA,NA,NA,98.247165,4997.975182,5011.434869,2015,-1.2136209393656827,-0.9695656591138686,-0.14560477645249992,-1.54652274502316,0.14560477645249992,OSL_SW_13A,OSL,SW,13A,NA,,,2.4460480000000047,-2.4460480000000002,64.5,3.5,62.6,3.3
KTL158,2.44,—,0.27 ± 0.04,0.32 ± 0.04,6.4000000000000001E-2,0.68 ± 0.08,40.0 ± 0.7,229/700 (181),23 ± 1,58.6,±,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.44,NA,NA,58.6,7.2
SW2C,2.39,<1,0.30 ± 0.02,0.32 ± 0.01,7.2999999999999995E-2,0.72 ± 0.03,47.0 ± 0.9,169/500 (145),20 ± 2,64.9,±,3.3,(2.3),-2.39,<1,0.30 ± 0.02,0.28 ± 0.02,0.073,0.68 ± 0.03,47.0 ± 0.9,169/500 (145),20 ± 2,68.8 ± 3.6,NA,NA,NA,98.306641,4997.367085,5012.206063,2015,-1.8217179393659535,-0.1983716591139455,-1.1227749855360032,-1.448234752242185,1.1227749855360032,OSL_B5_SW_2C,OSL,B5,SW,,,,2.386572000000001,-2.386572,68.8,3.6,64.9,3.3
NW13,2.37,4,0.26 ± 0.02,0.33 ± 0.01,6.8000000000000005E-2,0.69 ± 0.03,40.2 ± 0.9,183/500 (163),25 ± 2,58.2,±,3.1,(2.4),-2.37,4.0,0.26 ± 0.02,0.30 ± 0.01,0.068,0.67 ± 0.03,40.2 ± 0.9,183/500 (163),25 ± 2,60.3 ± 3.2,NA,NA,NA,98.319534,4998.975012,5012.636439,2012,-0.21379093936593563,0.23200434088630573,-0.31540162180969467,0.007375425741790065,0.31540162180969467,OSL_NW13,OSL,NW13,NA,NA,,,2.3736789999999957,-2.373679,60.3,3.2,58.2,3.1
NW12,2.29,<1,0.27 ± 0.02,0.33 ± 0.01,6.9000000000000006E-2,0.70 ± 0.03,38.7 ± 0.7,152/400 (128),20 ± 2,55.5,±,2.9,(2.2),-2.29,<1,0.27 ± 0.02,0.31 ± 0.01,0.069,0.68 ± 0.03,38.7 ± 0.7,152/400 (128),20 ± 2,56.9 ± 3.0,NA,NA,NA,98.400802,4998.983589,5012.68712,2012,-0.20521393936542154,0.2826853408860188,-0.34590039738666756,0.04875118408269763,0.34590039738666756,OSL_NW12,OSL,NW12,NA,NA,,,2.2924110000000013,-2.292411,56.9,3,55.5,2.9
SW11A,2.28,<1,0.28 ± 0.02,0.35 ± 0.02,6.4000000000000001E-2,0.73 ± 0.03,46.0 ± 1.0,156/500 (121),16 ± 2,63.4,±,3.3,(2.6),-2.28,<1,0.28 ± 0.02,0.35 ± 0.01,0.064,0.73 ± 0.03,46.4 ± 1.0,99/400 (77),16 ± 2,63.8 ± 3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.28,63.8,3.3,63.4,3.3
NA,NA,NA,NA,NA,NA,NA,38.3 ± 0.7†,NA,16 ± 2,51.7,±,2.6,(2.0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,2.6
KTL164,2.28,—,0.32 ± 0.03,0.38 ± 0.03,6.6000000000000003E-2,0.80 ± 0.06,42.1 ± 0.6,280/900 (240),21 ± 1,52.6,±,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.28,NA,NA,52.6,4.4
NW11,2.2,<1,0.29 ± 0.02,0.35 ± 0.02,7.1999999999999995E-2,0.74 ± 0.03,38.8 ± 0.8,126/500 (101),17 ± 2,52.6,±,2.7,(2.0),-2.20,<1,0.29 ± 0.02,0.32 ± 0.01,0.072,0.72 ± 0.03,38.8 ± 0.8,126/500 (101),17 ± 2,54.2 ± 2.8,NA,NA,NA,98.497835,4999.013998,5012.719977,2012,-0.17480493936545827,0.31554234088616795,-0.3484118788192397,0.09344997814944411,0.3484118788192397,OSL_NW11,OSL,NW11,NA,NA,,,2.195378000000005,-2.19537800000001,54.2,2.8,52.6,2.7
SW10A,2.16,<1,0.32 ± 0.02,0.32 ± 0.01,6.5000000000000002E-2,0.73 ± 0.03,40.3 ± 0.6,191/500 (160),18 ± 1,55.3,±,2.6,(1.9),-2.16,<1,0.32 ± 0.02,0.31 ± 0.01,0.065,0.72 ± 0.03,40.3 ± 0.6,191/500 (160),18 ± 1,55.7 ± 2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.16,55.7,2.6,55.3,2.6
