Sample,Depth below surface (m).x,Water (%)#,Environmental dose rate (Gy/kyr),...5,...6,...7,De value (Gy)$,Number of grains*,OD (%)&,osl_age.x,other1,osl_error.x,other2,Depth below surface (m).y,Water (%),EDR_Beta,EDR_Gamma,EDR_Cosmic,EDR_total,De value (Gy),Number of grains,OD (%),Age (ka),Sample.y,upper,lower,Elevation,Easting,Northing,year,X,Y,Xnew,Ynew,Xnew_flipped,Description,type,square,spit,cnr,find,findn,depth_below_ground_surface,total_station_depth_below_surf,osl_age.y,osl_error.y,osl_age,osl_error
NA,NA,NA,Beta,Gamma,Cosmic,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW5,0.95,4.5,0.24 ± 0.02,0.36 ± 0.02,8.3000000000000004E-2,0.71 ± 0.03,9.2 ± 0.2,188/500 (156),32 ± 2,12.8,±,0.7,(0.5),-0.95,4.5,0.24 ± 0.02,0.30 ± 0.01,0.083,0.67 ± 0.03,9.2 ± 0.2,188/500 (156),32 ± 2,13.7 ± 0.8,NA,NA,NA,99.746618,4998.970345,5012.772463,2012,-0.2184579393660897,0.36802834088666714,-0.41649106942625846,0.09850847707706448,0.41649106942625846,OSL_NW5,OSL,NW5,NA,NA,,,0.9465950000000021,-0.946595000000002,13.7,0.8,12.8,0.7
SW3B,0.85,<1,0.28 ± 0.02,0.33 ± 0.01,8.6999999999999994E-2,0.73 ± 0.04,8.2 ± 0.2 (C),150/400 (121),21 ± 2,11.3,±,0.7,NA,-0.85,<1,0.28 ± 0.02,0.31 ± 0.01,0.087,0.70 ± 0.03,8.2 ± 0.2,150/400 (121),21 ± 2,11.7 ± 0.7,NA,NA,NA,99.842387,4997.374323,5012.198121,2015,-1.8144799393658104,-0.20631365911322064,-1.1120340515567535,-1.4485451475449127,1.1120340515567535,OSL_SW_3B,OSL,SW,3B,NA,,,0.8508259999999979,-0.850825999999998,11.7,0.7,11.3,0.7
NA,NA,NA,NA,NA,NA,NA,7.2 ± 0.2 (M),NA,NA,9.9,±,0.6,(0.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,0.6
SW3A,0.85,1.1000000000000001,0.23 ± 0.02,0.33 ± 0.01,7.4999999999999997E-2,0.67 ± 0.03,7.6 ± 0.2 (C),113/300 (86),20 ± 2,11.2,±,0.6,NA,-0.85,1.1,0.23 ± 0.02,0.27 ± 0.01,0.075,0.61 ± 0.03,7.6 ± 0.2,113/300 (86),20 ± 2,12.3 ± 0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,12.3,0.7,11.2,0.6
NA,NA,NA,NA,NA,NA,NA,6.7 ± 0.2 (M),NA,NA,9.9,±,0.5,(0.4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,0.5
NW4,0.74,2.9,0.22 ± 0.02,0.26 ± 0.01,8.5000000000000006E-2,0.59 ± 0.03,5.1 ± 0.3,202/400 (176),27 ± 2,8.7,±,0.7,(0.6),-0.74,2.9,0.22 ± 0.02,0.24 ± 0.01,0.085,0.57 ± 0.03,7.0 ± 0.2,202/400 (176),27 ± 2,12.2 ± 0.7,NA,NA,NA,99.952457,4998.996126,5012.697102,2012,-0.19267693936581054,0.2926673408865099,-0.344371915283827,0.06470362701352633,0.344371915283827,OSL_NW4,OSL,NW4,NA,NA,,,0.7407560000000046,-0.740756000000005,12.2,0.7,8.7,0.7
SW2B,0.68,<1,0.28 ± 0.02,0.33 ± 0.01,8.7999999999999995E-2,0.73 ± 0.03,5.9 ± 0.2,191/400 (145),35 ± 2,8.1,±,0.4,(0.3),-0.68,<1,0.28 ± 0.02,0.33 ± 0.01,0.088,0.73 ± 0.03,7.2 ± 0.2,191/400 (145),35 ± 2,9.9 ± 0.5,NA,NA,NA,100.014348,4997.365926,5012.199182,2015,-1.8228769393654147,-0.2052526591132846,-1.1186303174213361,-1.453848411317059,1.1186303174213361,OSL_SW_2B,OSL,SW,2B,NA,,,0.6788650000000018,-0.678865000000002,9.9,0.5,8.1,0.4
SW2A,0.66,1.1000000000000001,0.23 ± 0.02,0.32 ± 0.01,7.5999999999999998E-2,0.66 ± 0.03,5.9 ± 0.1,165/400 (133),22 ± 2,8.9,±,0.5,(0.4),-0.66,1.1,0.23 ± 0.02,0.26 ± 0.01,0.076,0.60 ± 0.03,6.5 ± 0.1,165/400 (133),22 ± 2,10.8 ± 0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66,10.8,0.6,8.9,0.5
NW3,0.54,3,0.24 ± 0.02,0.35 ± 0.01,8.6999999999999994E-2,0.71 ± 0.03,5.6 ± 0.1 (C),181/400 (150),28 ± 2,7.9,±,0.4,(0.3),-0.54,3.0,0.24 ± 0.02,0.27 ± 0.01,0.087,0.64 ± 0.03,5.6 ± 0.1,181/400 (150),28 ± 2,8.8 ± 0.5,NA,NA,NA,100.15561,4998.962033,5012.71364,2012,-0.2267699393660223,0.30920534088636487,-0.37995134472592895,0.051667435330978506,0.37995134472592895,OSL_NW3,OSL,NW3,NA,NA,,,0.5376030000000043,-0.537603000000004,8.8,0.5,7.9,0.4
NA,NA,NA,NA,NA,NA,NA,4.3 ± 0.2 (M),NA,NA,6.1,±,0.4,(0.3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0.4
SW1B,0.49,<1,0.30 ± 0.02,0.36 ± 0.02,0.09,0.78 ± 0.03,5.0 ± 0.1,178/400 (144),33 ± 2,6.4,±,0.3,(0.3),-0.49,<1,0.30 ± 0.02,0.36 ± 0.02,0.090,0.78 ± 0.03,5.0 ± 0.1,178/400 (144),33 ± 2,6.4 ± 0.3,NA,NA,NA,100.202579,4997.403552,5012.186171,2015,-1.7852509393660512,-0.2182636591132905,-1.0831337714326776,-1.4358207320480212,1.0831337714326776,OSL_SW_1B,OSL,SW,1B,NA,,,0.490634,-0.490634,6.4,0.3,6.4,0.3
NW2,0.33,1.6,0.32 ± 0.02,0.35 ± 0.02,8.8999999999999996E-2,0.79 ± 0.03,4.4 ± 0.1 (C),129/400 (102),27 ± 2,5.5,±,0.3,NA,-0.33,1.6,0.32 ± 0.02,0.34 ± 0.01,0.089,0.78 ± 0.03,4.4 ± 0.1,129/400 (102),27 ± 2,5.6 ± 0.3,NA,NA,NA,100.359543,4998.965041,5012.749392,2012,-0.22376193936543132,0.3449573408861397,-0.4035796488887232,0.07866663551131597,0.4035796488887232,OSL_NW2,OSL,NW2,NA,NA,,,0.3336699999999979,-0.333669999999998,5.6,0.3,5.5,0.3
NA,NA,NA,NA,NA,NA,NA,3.3 ± 0.2 (M),NA,NA,4.1,±,0.3,(0.3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,0.3
NW1,0.19,4.4000000000000004,0.32 ± 0.02,0.38 ± 0.02,9.0999999999999998E-2,0.83 ± 0.03,2.4 ± 0.2 (M),96/400 (81),55 ± 5,2.9,±,0.2,(0.2),-0.19,4.4,0.32 ± 0.02,0.36 ± 0.02,0.091,0.80 ± 0.03,2.4 ± 0.2,96/400 (81),55 ± 5,3.0 ± 0.2,NA,NA,NA,100.507363,4998.94221,5012.697701,2012,-0.24659293936565518,0.2932663408864755,-0.38225600052576447,0.026335802702460415,0.38225600052576447,OSL_NW1,OSL,NW1,NA,NA,,,0.18585000000000207,-0.185850000000002,3,0.2,2.9,0.2
NE8,-2.4,1.1000000000000001,0.20 ± 0.02,0.31 ± 0.01,3.5000000000000003E-2,0.58 ± 0.03,45.7 ± 1.0,106/400 (84),16 ± 2,78.6,±,4.2,(3.4),-2.4,1.1,0.20 ± 0.02,0.23 ± 0.01,0.035,0.50 ± 0.02,45.7 ± 1.0,106/400 (84),16 ± 2,91.3 ± 5.2,NA,NA,NA,98.36981458002595,NA,NA,NA,NA,NA,NA,NA,-1.822198314869941,NA,NA,NA,NA,NA,NA,NA,NA,-2.3233984199740547,91.3,5.2,78.6,4.2
NE7,-2.1,<1,0.20 ± 0.02,0.31 ± 0.01,3.5999999999999997E-2,0.58 ± 0.03,39.2 ± 1.2,92/400 (77),24 ± 2,67.1,±,4.0,(3.4),-2.10,<1,0.20 ± 0.02,0.23 ± 0.01,0.036,0.50 ± 0.03,39.2 ± 1.2,92/400 (77),24 ± 2,77.7 ± 4.9,NA,NA,NA,98.55111234487916,NA,NA,NA,NA,NA,NA,NA,-1.822198314869941,NA,NA,NA,NA,NA,NA,NA,NA,-2.142100655120842,77.7,4.9,67.1,4
NE6,-1.8,3,0.25 ± 0.02,0.34 ± 0.01,3.6999999999999998E-2,0.66 ± 0.03,35.2 ± 0.5,251/400 (212),20 ± 1,53.6,±,2.6,(2.0),-1.80,3.0,0.25 ± 0.02,0.25 ± 0.01,0.037,0.57 ± 0.03,35.2 ± 0.5,251/400 (212),20 ± 1,62.2 ± 3.2,NA,NA,NA,98.82305899215898,NA,NA,NA,NA,NA,NA,NA,-1.813565087972169,NA,NA,NA,NA,NA,NA,NA,NA,-1.8701540078410233,62.2,3.2,53.6,2.6
NE5,-1.5,<1,0.20 ± 0.02,0.33 ± 0.01,3.9E-2,0.60 ± 0.03,24.9 ± 0.4,214/400 (182),21 ± 1,41.6,±,2.3,(1.7),-1.50,<1,0.20 ± 0.02,0.25 ± 0.01,0.039,0.52 ± 0.03,24.9 ± 0.4,214/400 (182),21 ± 1,48.0 ± 2.6,NA,NA,NA,99.09932225288767,NA,NA,NA,NA,NA,NA,NA,-1.817881701421054,NA,NA,NA,NA,NA,NA,NA,NA,-1.5938907471123258,48,2.6,41.6,2.3
NE4,-1.2,<1,0.27 ± 0.02,0.33 ± 0.01,0.04,0.67 ± 0.03,20.5 ± 0.5,196/400 (173),32 ± 2,30.4,±,1.6,(1.4),-1.2,<1,0.27 ± 0.02,0.26 ± 0.01,0.040,0.60 ± 0.03,20.5 ± 0.5,196/400 (173),32 ± 2,34.4 ± 1.9,NA,NA,NA,99.40580180775859,NA,NA,NA,NA,NA,NA,NA,-1.796298634176625,NA,NA,NA,NA,NA,NA,NA,NA,-1.2874111922414073,34.4,1.9,30.4,1.6
NE3,-0.9,<1,0.28 ± 0.02,0.34 ± 0.01,4.1000000000000002E-2,0.69 ± 0.03,11.2 ± 0.4,174/400 (152),42 ± 3,16.1,±,0.9,(0.8),-0.90,<1,0.28 ± 0.02,0.26 ± 0.01,0.041,0.62 ± 0.03,11.2 ± 0.4,174/400 (152),42 ± 3,18.1 ± 1.1,NA,NA,NA,99.7122813626295,NA,NA,NA,NA,NA,NA,NA,-1.783348793829966,NA,NA,NA,NA,NA,NA,NA,NA,-0.980931637370503,18.1,1.1,16.1,0.9
NE2,-0.6,<1,0.28 ± 0.02,0.35 ± 0.02,4.2999999999999997E-2,0.70 ± 0.03,7.6 ± 0.3,113/400 (91),33 ± 3,10.9,±,0.6,(0.5),-0.60,<1,0.28 ± 0.02,0.27 ± 0.01,0.043,0.62 ± 0.03,7.6 ± 0.3,113/400 (91),33 ± 3,12.3 ± 0.7,NA,NA,NA,100.35545676651351,NA,NA,NA,NA,NA,NA,NA,-1.770398953483308,NA,NA,NA,NA,NA,NA,NA,NA,-0.33775623348648764,12.3,0.7,10.9,0.6
NE1,-0.3,2.8,0.34 ± 0.02,0.37 ± 0.02,4.3999999999999997E-2,0.78 ± 0.03,0.6 ± 0.1,93/400 (93),94 ± 6,0.80,±,0.09,(0.08),-0.30,2.8,0.34 ± 0.02,0.29 ± 0.01,0.044,0.70 ± 0.03,0.6 ± 0.1#,93/400 (93),94 ± 6,0.89 ± 0.10,NA,NA,NA,100.45042226238901,NA,NA,NA,NA,NA,NA,NA,-1.73586604589222,NA,NA,NA,NA,NA,NA,NA,NA,-0.24279073761098857,0.89,0.1,0.8,0.09
